Explanations,,,,,,,,,,,,,General study info and demographics,,,,,,,,,,,,,,,Design,,,,,Variables,,,,,,Conditions,,,,,,,,,,,,,,"If DV is a scale (If has M, SD, N info for ANOVA/t-test), if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,,"If DV is counts of participants, if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,If DV is proportions,,,,,,,,,,,,,,,,,,,,,,,,"* SUMMARY section - Converting all effects to Cohen's d. REMEMBER - this is ONLY about the contrast for the effect you care about, NOT the general effect",,,,,,,,,,,,,Moderators,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,,,,,Statistics,,,,,,,,,,,,,,,,,,,Descriptives,,,,,Statistics,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,Statistics,,,,,,,,,,,,,,,,,,,,If DV was scale,,,,If DV was counts,,If DV was proportions,,,,,,,,,,,,,,,,,,,,,,
Mandatory?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
Fields,Article,Article number,Study #,Sample #,Subgroup#,DV #,Notes,Coder,"Date last
coding",Complete?,Verified by,Verification date,Published,Setting,Sample,Country,"N sample size
(gross):","N sample size
(post-attrition)",Reasons for exclusions,"Age 
(mean)",Age (SD),N female,N male,N unreported gender,% female,% male,% unreported gender,# conditions,Original design in the study (X by Y),Design for our analysis (X by Y),Explain design change,Design type,IV1 title,IV2 title,IV1 manipulated?,"Explanation
IV1","Explanation
IV2",Other Ivs reported?,"Exceptional Cell
Explanation","Routine Cell
Explanation",Were any conditions collapsed/joined?,If yes - Explain ,Exceptional Cell N,"Routine Cell
N",N reported per cell or calculated?,Explanation,DV title,"Explanation
DV",DV group,DV percentage?,DV count?,DV scale?,Info coded,page & table in article,Exceptional Cell M,Routine Cell M,Exceptional Cell SD,Routine Cell SD,M reported?,If not - how did you calculate?,Info coded,page & table in article,F ANOVA F,"F ANOVA DF (x, y)",t from t-test,t-test df (x),p values,p one/two-tail,is p-value accurate? (yes/no),Calculated p value,Reported cohen d,Calculated Cohen d of the effect of focus,Calculator used/Explanation,Differences reported calculated? (yes/no),Are cells compared?,If no - what constant?,Any missing info?,If missing- how did you calculate?,Explanation of calculation (equation),Info coded,page & table in article,Cnt Cell1 option1,Cnt Cell1 option2,Comments,Info coded,page & table in article,df,p values,p one/two-tail,Computed p values,Is p-value accurate?,Which stat reported ,Reported Binomial z,Calculated Binomial z,Binomial - Differences calculated reported?(yes/no),Reported Chisq,Calculated Chisq,Chisquare - Differences calculated reported?(yes/no),Are cells compared?,If no - what constant?,If yes - which cells compared?,Explain why these cells,Any missing info?,If missing- how did you calculate?,Explanation of calculation (equation),Info coded,page & table in article,% Cell1,% Cell2,Info coded,page & table in article,df,p values,p one/two-tail,Computed p-values,Is p-value accurate?,Which stat reported ,Calculated Binomial z,Binomial - Differences calculated reported? (yes/no),Reported Chisq,Calculated Chisq,Chisquare - Differences calculated reported?(yes/no),Are cells compared?,If no - what constant?,If yes - which cells compared?,Explain why these cells,Any missing info?,If missing- how did you calculate?,Explanation of calculation (equation),Cohen d in original article ,Calculated Cohen d,Cohen's d converted from ANOVA F,Cohen's d coverted from t-test t,from Chisquare to d,from binomial to d,from Chisquare to d,from binomial to d,"Explain convertion (equation, or copy-paste of calculations)",Tool used to convert?,Does effect need to be reversed?,"If yes to reversed, then why",Best effect estimate,Coded info/scenario,Action/inaction,Explanation,Status quo,Explanation,Controllable vs. uncontrollable Events,Explanation,Regret vs. counterfactuals,Regret vs. Counterfactuals (using DV groups),Explanation,Exceptional vs. normal outcome,Explanation,Outcome severity,Explanation,Routine strength,Explanation
,Kahneman & Miller (1986),1,1,1,1,1,They reported percentages and N. I calculated the effect over rounded counts.,Lucas,8/19/2017,Completed,Gilad,21/8/2017,Yes,Laboratory,,,92,92,,,,,,,,,,1,,1x1,,No manipulation (comparison),exception vs. routine,,Measured/compared,man who drove an exceptional route vs. man who drove to work on his regular route,,,exceptional route,taking the routine route,No,,,,Ns reported in the article,,upset,Who is more upset over the accident? (Mr. Adams/Mr.White),1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Adams was involved in an accident when driving home after work on his regular route. Mr. White was involved in a similar ac- cident when driving on a route that he only takes when he wants a change of scenery. Who is more upset over the accident? Mr. Adams 18% Mr. White 82% (N = 92),p.145,75,17,"Calculated counts over N and proportions. Exception: 92*0.82=75.44 ->75, Routine: 92*0.18=16.56=17",,,,,,,,,,,,,36.565,,,,,,,,"Caculated Chi-square using actual numbers with http://graphpad.com/quickcalcs/chisquared1/, plugged in 75 and 17 compared to 50-50 random chance distribution of 46 - 46, Output: Chi-square = 36.565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62431688,,,,"conversion for Chi-square to Cohen d, plugged in N = 92 and Chi-square = 36.565, Output for Cohen's d: 1.62431688",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,1.62431688,Mr. Adams was involved in an accident when driving home after work on his regular route. Mr. White was involved in a similar accident when driving on a route that he only takes when he wants a change of scenery. Who is more upset over the accident? Mr. Adams 18% Mr. White 82% (N = 92),1,Exception was through taking action - driving home ,1,,1,"Exceptional route was chosen for a ""change of scenery""",1,1,"Regret - ""Who is more upset over the accident?""",99,"car accident, hard to tell how severe from description",99,"car accident, hard to tell how severe from description",high frequency (often/regularly/most times/habit,"regular - ""driving home after work on his regular route"". "
,Kahneman & Miller (1986),1,2,1,1,1,They reported percentages and N. I calculated the effect over rounded counts.,Lucas,8/19/2017,Completed,Gilad,21/8/2017,Yes,Laboratory,,,138,138,,,,,,,,,,1,,1x1,,No manipulation (comparison),exception vs. routine,,Measured/compared,Mr. Jones gave a hitchhiker a ride although he normally never takes hitch-hikers (exception) vs. Mr. Smith who frequently takes hitch-hikers (routine),,,making an exception and take a hitchhiker,follow past behavior and take a hitchhiker,No,,,,Ns reported in the article,,regret,Who do you expect to experience greater regret over the episode? (Mr. Jones/ Mr. Smith),1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jones almost never takes hitch-hikers in his car. Yesterday he gave a man a ride and was robbed. Mr. Smith frequently takes hitch- hikers in his car. Yesterday he gave a man a ride and was robbed. Who do you expect to experience greater regret over the episode?Mr. Jones 88% Mr. Smith 12% N= 138,p.145,121,17,"Calculated counts over N and proportions. Exception:138*0.88= 121.44 -> 121, Routine: 138*0.12=16.56 -> 17",,,,,,,,,,,,,78.377,,,,,,,,"Caculated Chi-square using actual numbers with http://graphpad.com/quickcalcs/chisquared1/, plugged in 121 and 17 compared to 50-50 random chance distribution of 69 - 69, Output: Chi-square = 78.377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29307047,,,,"conversion for Chi-square to Cohen d, plugged in N=138 and Chi-square = 78.377 , Output for Cohen's d: 2.29307047",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,2.29307047,Mr. Jones almost never takes hitch-hikers in his car. Yesterday he gave a man a ride and was robbed. Mr. Smith frequently takes hitch-hikers in his car. Yesterday he gave a man a ride and was robbed. Who do you expect to experience greater regret over the episode?Mr. Jones 88% Mr. Smith 12% N= 138,1,Exception was through taking action - taking a hitchhiker,1,,1,Taking hitchhikers or not lies in the choice of the driver and is therefor controllable,1,1,"Regret - ""Who do you expect to experience greater regret over the episode?""",1,Getting robbed is an abnormal outcome,1,getting robbed - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"frequently - ""Mr. Smith frequently takes hitch-hikers"""
,Miller & McFarland (1986),5,1,1,1,1,routine vs. controllable exception (two sample t-test),Lucas,8/20/2017,Completed,Gilad,21/8/2017,Yes,Laboratory,Students,,163,163,routine (N=58) and controllable exception (N=48) non controllable exception (N=57),,,,,,,,,3,1x3,1x2,routine vs. exception (combined controllable versus uncontrollable),Between,unregular vs. regular behavior,,Manipulated,Person visits a supermarket that he never visits vs. person goes to the supermarket he regularly visits,,,visiting an non regular store,visiting an regular store,Yes,Controllable exceptional and uncontrollabe exceptional conditions were collapsed into one exceptional condition leading to a 1x2 design,105,58,Ns reported in the article,,victim compensation,"All subjects indicated on an 11-point scale how much money they believed the victim should receive in compensation for his loss (from zero dollars, 0, to one million dollars, 10). They were informed that the typical award was $500,000 (5).",3 - compensation,No,No,Yes,"In the normal outcome condition (N= 58), subjects read that on the night he was shot, the victim had gone to the store he most commonly frequented. We included two abnormal outcome conditions. In the first (N=48), subjects read that on the night he was shot the victim had gone to the store that he rarely frequented for a “change of pace.” In the second abnormal outcome condition (N= 57), subjects learned that the victim had gone to the store he rarely frequented because his usual store was temporarily closed for renovations. Subjects assigned the victim who was shot at a store he rarely visited significantly more compensation, M = 5.37, than the victim who was shot at his regularstore,M=4.52, t(162)=2.17,p<.03.",p.515,5.37,4.52,,,Reported for each cell,"SD was not given, converted t from original collapsed conditions to d: t=2.17, treatment group N= 105, comparison group N=58, Output: d=0.36 used calculator How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook Sheet 2, Plugged d, N and Means for controlled exception compared routine condition and plugged it in sheet one and adjusted SDs in order to get d = 0.36. Means SD for both Cells was 2.4.",,,,,2.17,162,p < .03,Two tail p,,,,0.35721176,"calculated two sample t over N, M and SD using http://graphpad.com/quickcalcs/ttest2/, plugged in: Exception: N=48, M=5.37, SD=2.4, Routine: N=58, M=4.52, SD=2.4, Output:  t = 1.8151, df = 104, standard error of difference = 0.468, converted t to d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in N1=48, N2=58, t= 1.8151, Output: d = 0.35756511 ",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35721176,,,,,"converted t to d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in N1=48, N2=58, t= 1.8151, Output: d = 0.35756511 ", https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.htm,No,,0.35721176,"Subjects were provided with one of three descriptions that differed only in the abnormality of the outcome depicted. In all three conditions, the male victim was described as having lost the use of his right arm as a result of a gunshot wound. He had been shot when he walked in on a robbery occurring in a convenience store in his neighborhood. Further, they read that there were two convenience stores located near the victim’s home, one of which he frequented more regularly than the other. In the normal outcome condition (n = 58), subjects read that on the night he was shot, the victim had gone to the store he most commonly frequented. We included two abnormal outcome conditions. In the first (n = 48), subjects read that on the night he was shot the victim had gone to the store that he rarely frequented for a “change of pace.” In the second abnormal outcome condition (n = 57), subjects learned that the victim had gone to the store he rarely frequented because his usual store was temporarily closed for renovations. We employed two abnormal versions to assess whether the origins of the abnormal action (self-produced versus other-produced) would affect the sympathy evoked by the victim.",1,Exception was through taking action - visiting a store,1,,99,Combined controllable and uncontrrollable,3,3,"Victim compensation - ""After reading the description, all subjects indicated on an 11-point scale how much money they believed the victim should receive in compensation for his loss (from zero dollars, 0, to one million dollars, 10). They were informed that the typical award was $500,000 (5).""",1,Loosing the use of an arm in a robbery is coded as exceptional outcome,1,loosing the use of an arm - - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"regularly - ""one of which he frequented more regularly than the other."""
,Gavanski & Wells (1989),3,1,1,1,1,Good student,Lucas,7/11/2017,Completed,Gilad,7/18/2017,Yes,Laboratory,Students,USA,57,57,,,,,,,,,,4,2x2,1x2,We collapsed the outcome IV together,Between,normality of prior events,outcome valence,Manipulated,exceptional vs. normal prior events,positive vs. negative outcome,,exceptional events,normal events,Yes,We ignored the positive outcomes and only coded the negative outcomes,28,28,Ns computed from df,"only total N of 229 was provided, calculated N for conditions through 229/8 conditions = 28",counterfactuals,"The data were independently coded by two judges who were blind to experimental condition. Intejudge agreement was high, at 92%. Disagreements were resolved by a third judge. The judges first assigned ranks to the four target events according to the order in which they were mutated, assigning the first event mentioned a rank of 1, the second event a rank of 2, and so on. If a target event was not mentioned at all, it received a rank of 5. We then averaged the ranks of the two normal events and of the two exceptional events. Finally, we subtracted the average rank for exceptious from the average rank for norms to form one difference score for each subject; the difference score would be negative if normal events were mutated before exceptional events, positive if exceptional events were mutated before normal events, and zero if norms and exceptions were mutated equally. ",2 - counterfactuals,No,No,Yes,Table 1 ,p.320,2.49,3.22,,,Reported for each cell,m reported for all cells of the 2x2x2 matrix individually. we only calculated negative outcomes for the excellent student (exceptional outcome),"Not reported, we calculated this ourselves, see details.",Not reported,,,,,,,,,,-0.87,"Calculating Cohen's d from t-tests from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",,Yes,,MSD,"Gilad: I calculated that the overall Cohen d effect for the effects they report in the paper were .33 and then plugged in the means, and tried to asses the mean standard error, and -.85 was a close assessment. I used that to calcaulte the Cohen d, without the t-statistic ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.87,,,,,,,Yes,"DV is rank, needs to be reversed to scale",0.87,"Andrea is a first year Sciences student in university. She is (an excellent) [a very poor] student. She obtained a (3.6) [2.1] grade point average in her first term. Andrea bad an important exam coming up on Friday in her psychology course. She spent about her usual amount of time studying the class notes and assigned readings. (As she always did for an important exam) [Although she rarely felt this was necessary] Andrea went to the library to pick up some extra reference material for the exam, which she studied carefully. On Wednesday, (Andrea happened to run into an old friend, Lynn, who bad taken the same psychology course last year and had a copy of last year’s exam.) [Andrea picked up a copy of the previous year’s exam from a friend who had taken the same psychology course last year. This was something she commonly did for important exams.] Andrea studied the aid exam carefully to get an idea of the kinds of questions that might be on her exam. (Andrea’s mother had been chronically ill for 2 years, so Andrea spent Thursday evening doing household chores. She had been doing this every evening since her mother became ill.) [Andrea’s mother was ill on Thursday and unable to work around the house. Because of this, Andrea spent Thursday evening doing household chores-something she rarely did.] On Friday morning, Andrea was very nervous, (although exams hardly ever made her nervous) [as she always was just before important exams]. She noticed that her hands were shaking and hoped that her anxiety would not interfere with her concentration. Andrea wrote the exam later that day and (passed with a very good mark) [failed].",,,,,99,both controllable and uncontrollable exceptions,2,2,"Couterfactuals - ""After reading the story, participants were asked to list six things that could have been different to have changed the outcome""",1,Excellent student poor outcome - exception outcome,0,Bad grade -  Tolerable/short-term/non-lasting impact,certainty (always/never/each day),"always/every evening/commonly - 4 routine manipulations in total: 3 of them have certainty-character ""As she always did for an important exam"", ""She had been doing this every evening since her mother became ill"", "" as she always was just before important exams"". 1 routine manipulation has high frequency character: ""This was something she commonly did for important exams.] Decided for certainty coding"
,Gavanski & Wells (1989),3,1,2,1,1,Poor student (fail is common outcome),Gilad,7/18/2017,Completed,Gilad,7/18/2017,Yes,Laboratory,Students,USA,57,57,,,,,,,,,,4,2x2,1x2,We collapsed the outcome IV together,Between,normality of prior events,outcome valence,Manipulated,exceptional vs. normal prior events,positive vs. negative outcome,,exception,routine,Yes,We ignored the positive outcomes and only coded the negative outcomes,28,28,Ns computed from df,"only total N of 229 was provided, calculated N for conditions through 229/8 conditions = 28",counterfactuals,"The data were independently coded by two judges who were blind to experimental condition. Intejudge agreement was high, at 92%. Disagreements were resolved by a third judge. The judges first assigned ranks to the four target events according to the order in which they were mutated, assigning the first event mentioned a rank of 1, the second event a rank of 2, and so on. If a target event was not mentioned at all, it received a rank of 5. We then averaged the ranks of the two normal events and of the two exceptional events. Finally, we subtracted the average rank for exceptious from the average rank for norms to form one difference score for each subject; the difference score would be negative if normal events were mutated before exceptional events, positive if exceptional events were mutated before normal events, and zero if norms and exceptions were mutated equally. ",2 - counterfactuals,No,No,Yes,Table 1 ,p.320,2.95,2.87,,,Reported for each cell,m reported for all cells of the 2x2x2 matrix individually. we only calculated negative outcomes for the poor student (routine outcome),"Not reported, we calculated this ourselves, see details.",Not reported,,,,,,,,,,0.1,"Calculating Cohen's d from t-tests from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",,Yes,,MSD,"Gilad: I calculated that the overall Cohen d effect for the effects they report in the paper were .33 and then plugged in the means, and tried to asses the mean standard error, and .1 was a close assessment. I used that to calcaulte the Cohen d, without the t-statistic ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,Yes,"DV is rank, needs to be reversed to scale",-0.1,"Andrea is a first year Sciences student in university. She is (an excellent) [a very poor] student. She obtained a (3.6) [2.1] grade point average in her first term. Andrea bad an important exam coming up on Friday in her psychology course. She spent about her usual amount of time studying the class notes and assigned readings. (As she always did for an important exam) [Although she rarely felt this was necessary] Andrea went to the library to pick up some extra reference material for the exam, which she studied carefully. On Wednesday, (Andrea happened to run into an old friend, Lynn, who bad taken the same psychology course last year and had a copy of last year’s exam.) [Andrea picked up a copy of the previous year’s exam from a friend who had taken the same psychology course last year. This was something she commonly did for important exams.] Andrea studied the aid exam carefully to get an idea of the kinds of questions that might be on her exam. (Andrea’s mother had been chronically ill for 2 years, so Andrea spent Thursday evening doing household chores. She had been doing this every evening since her mother became ill.) [Andrea’s mother was ill on Thursday and unable to work around the house. Because of this, Andrea spent Thursday evening doing household chores-something she rarely did.] On Friday morning, Andrea was very nervous, (although exams hardly ever made her nervous) [as she always was just before important exams]. She noticed that her hands were shaking and hoped that her anxiety would not interfere with her concentration. Andrea wrote the exam later that day and (passed with a very good mark) [failed].",,,,,99,both controllable and uncontrollable exceptions,2,2,"Couterfactuals - ""After reading the story, participants were asked to list six things that could have been different to have changed the outcome""",0,Poor student - poor outcome - normal,0,Bad grade -  Tolerable/short-term/non-lasting impact,certainty (always/never/each day),"always/every evening/commonly - 4 routine manipulations in total: 3 of them have certainty character: ""As she always did for an important exam"", ""She had been doing this every evening since her mother became ill"", "" as she always was just before important exams"". 1 routine manipulation has high frequency character: ""This was something she commonly did for important exams.] Decided for Certainty coding"
,Macrae (1992),4,1,1,1,1,DV: compensation,Lucas,7/14/2017,Completed,Gilad,7/18/2017,Yes,Laboratory,Students,UK,40,40,,,,,,,,,,2,1x2,1x2,,Between,past behavior normality,,Manipulated,exceptional vs. routine circumstances (visiting a previously frequently visited restaurant),,,Visiting a new restaurant,Visting the usual restaurant,No,,20,20,Ns computed from df,"only total N of 40 was provided, calculated N for conditions through 40/2 conditions = 20 participants per condition",compensation,Question 1 concerned the amount of compensation subjects believed the victim should receive (ranging from £0 to £800),3 - compensation,No,No,Yes,"Subjects recommended higher levels of compensation when the victim ate the curry in the unusual (M = 535) rather than the usual restaurant (M = 460); this difference approached statistical significance, t(38) = -1.81, p < .08. ",p.85,535,460,,,Reported for each cell,,"Subjects recommended higher levels of compensation when the victim ate the curry in the unusual (M = 535) rather than the usual restaurant (M = 460); this difference approached statistical significance, t(38) = -1.81, p < .08. ",p.85,,,-1.81,38,p<.08,Two tail p,yes,,,-0.587,"From t-test to Cohen's d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in t= -1.81, n1=20, n2=20, Output: Cohen's d = -0.587",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.587,,,,,"From t-test to Cohen's d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in t= -1.81, n1=20, n2=20, Output: Cohen's d = -0.587",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,Yes,"Authors reported t tests reversed, not sure why",0.587,"One Saturday evening Lucy decided to go out for an Indian meal. She regularly went to a restaurant at the bottom of her street On this occasion, however, she felt like a change so went to a restaurant in the center of town she had never before visited. Upon arriving home, at 11:3Opm, Lucy became violently ill. The doctor was called and food poisoning was diagnosed. Lucy was detained in hospital for 4 days and her illness was traced back to the curry she ate in the restaurant.",1,Exception was through taking action - going to a restaurant,1,Exceptional event was aligned with non status-quo option,1,"The protagonist feels wants a change of pace and is not forced to make an exception ""On this occasion, however, she felt like a change so went to a restaurant in the center of town she had never before visited.""",3,3,"Compensation - ""Question 1 concerned the amount of compensation subjects believed the victim should receive (ranging from £0 to £800)""",1,food poisening is an abnormal outcome,1,"food poisening, detained in hospital for a few days",high frequency (often/regularly/most times/habit,"regularly -  ""She regularly went to a restaurant at the bottom of her street"""
,Macrae (1992),4,1,1,1,3,DV: fine,Lucas,7/14/2017,Completed,Gilad,7/18/2017,Yes,Laboratory,Students,UK,40,40,,,,,,,,,,2,1x2,1x2,,Between,past behavior normality,,Manipulated,exceptional vs. routine circumstances (visiting a previously frequently visited restaurant),,,Visiting a new restaurant,Visting the usual restaurant,No,,20,20,Ns computed from df,"only total N of 40 was provided, calculated N for conditions through 40/2 conditions = 20 participants per condition",fine,"Question 3, the ﬁne to be leveled against the restaurant (ranging from £0 to £4,000)",7 - offender punishment,No,No,Yes,"When the food poisening was preceded by exceptional rather than routine circumstances, the restaurant was considered to be more negligent (Ms = 6.55 vs. 5.65), t(38) = -2.40, p< .03, and a harsher fine was leveled against it for its part in the incident (Ms =2,125 vs. 1,800), t(38) = -2.10, p< .05.",p.86,2125,1800,,,Reported for each cell,,"When the food poisening was preceded by exceptional rather than routine circumstances, the restaurant was considered to be more negligent (Ms = 6.55 vs. 5.65), t(38) = -2.40, p< .03, and a harsher fine was leveled against it for its part in the incident (Ms =2,125 vs. 1,800), t(38) = -2.10, p< .05.",p.86,,,-2.1,38,p< .05,Two tail p,yes,,,-0.681,"From t-test to Cohen's d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in t= -2.1, n1=20, n2=20, Output: Cohen's d = -0.681",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.681,,,,,"From t-test to Cohen's d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in t= -2.1, n1=20, n2=20, Output: Cohen's d = -0.681",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,Yes,"Authors reported t tests reversed, not sure why",0.681,"One Saturday evening Lucy decided to go out for an Indian meal. She regularly went to a restaurant at the bottom of her street On this occasion, however, she felt like a change so went to a restaurant in the center of town she had never before visited. Upon arriving home, at 11:3Opm, Lucy became violently ill. The doctor was called and food poisoning was diagnosed. Lucy was detained in hospital for 4 days and her illness was traced back to the curry she ate in the restaurant.",1,Exception was through taking action - going to a restaurant,1,Exceptional event was aligned with non status-quo option,1,"The protagonist feels wants a change of pace and is not forced to make an exception ""On this occasion, however, she felt like a change so went to a restaurant in the center of town she had never before visited.""",3,3,"Fine - ""Question 3, the ﬁne to be leveled against the restaurant (ranging from £0 to £4,000)""",1,food poisening is an abnormal outcome,1,"food poisening, detained in hospital for a few days",high frequency (often/regularly/most times/habit,"regularly -  ""She regularly went to a restaurant at the bottom of her street"""
,Macrae (1992),4,2,1,1,1,DV: compensation,Lucas,7/14/2017,Completed,Gilad,7/18/2017,Yes,Laboratory,Students,UK,40,40,,,,,,,,,,2,1x2,1x2,,Between,past behavior normality,,Manipulated,exceptional vs. routine circumstances (visiting a previously frequently visited restaurant),,,Visiting a new restaurant,Visting the usual restaurant,No,,20,20,Ns computed from df,"only total N of 40 was provided, calculated N for conditions through 40/2 conditions = 20 participants per condition",compensation,Question 1 concerned the amount of compensation subjects believed the victim should receive (ranging from £0 to £800),3 - compensation,No,No,Yes,"Specifically, when the accident was preceded by exceptional rather than routine circumstances, significantly more compensation was recommended for the victim (Ms = 1120 vs. 920) , t(38) = -2.37, P< .03, and the scaffolding firm was considered to be more negligent (Ms = 7.10 vs. 5.85), t(38) = -3.31, p< .003, and wasfined more harshly (Ms = 2475 vs. 1875), t(38) = -2.91, p < .008.",p.86,1120,920,,,Reported for each cell,,"Specifically, when the accident was preceded by exceptional rather than routine circumstances, significantly more compensation was recommended for the victim (Ms = 1120 vs. 920) , t(38) = -2.37, P< .03, and the scaffolding firm was considered to be more negligent (Ms = 7.10 vs. 5.85), t(38) = -3.31, p< .003, and wasfined more harshly (Ms = 2475 vs. 1875), t(38) = -2.91, p < .008.",p.86,,,-2.37,38,P< .03,Two tail p,yes,,,-0.769,"From t-test to Cohen's d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in t= -2.37, n1=20, n2=20, Output: Cohen's d = -0.769",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.769,,,,,"From t-test to Cohen's d using https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in t= -2.37, n1=20, n2=20, Output: Cohen's d = -0.769",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,Yes,"Authors reported t tests reversed, not sure why",0.769,"Jane has walked to work each day for the past 2 years. She is very much a creature of habit-always taking the same route to work. One day, however, she decided that she wanted a change of scenery and took a different route to the office. On the way she passed some building works. As she walked along the pavement a piece scaffolding fell from the construction and struck her on the back Jane sustained minor injuries and as a consequence of the incident was detained in hospital for 4 days.",1,Exception was through taking action - going to a restaurant,1,Exceptional event was aligned with non status-quo option,1,"The situation was controllable because she took a new route because ""she wanted a change of scenery""",3,3,"Compensation - ""Question 1 concerned the amount of compensation subjects believed the victim should receive (ranging from £0 to £800)""",1,injury through a falling piece of scaffolding is exceptional,1,injury through a falling piece of scaffholding - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"each day -  ""Jane has walked to work each day for the past 2 years """
